Chemical Engineering                    ,"
                
                    CH E      5. Introduction to Chemical Engineering Design                                                                                                                                                                                      
                
                
		
                    
                        
                            (3)
                            DOHERTY, SHELL, CHADA
                            
                        
                        
                            
                            Enrollment Comments: Cross-listed with ChE W 5
                        
                    
                    
                        Introduction to the design and analysis of processes involving chemical change in the context of chemical and biomolecular engineering. Students learn mathematical, empirical, and conceptual strategies to analyze chemical processes to assess product quality, economics, safety, and   environmental issues. Focus topics include an overview of chemical and biomolecular engineering, evaluating and analyzing data, flowsheets, material and energy balances, economics, and unit operations.                                                                                                                                                                                                                                                                         
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     188A. 
                        Senior Electrical Engineering Project                                                                                                                                                                                            
                
                
		
                    (4)
                        BEN-YAACOV 
                             Prerequisite: ECE 130A and ECE 130B with a C- grade or better in both; or ECE 137A and ECE 137B with a C- or better in both.                                                                                                                                                                                                                                                                         
                            
                    
                        Student groups design a significant project based on the knowledge and skills acquired in earlier coursework and integrate their technical knowledge through a practical design experience. The project is evaluated through written reports, oral presentations, and demonstrations of performance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     188B. 
                        Senior Electrical Engineering Project                                                                                                                                                                                            
                
                
		
                    (3)
                        BEN-YAACOV 
                             Prerequisite: ECE 188A with a minimum grade of C-.                                                                                                                                                                                                                                                                                                                                                   
                            
                    
                        Student groups design a significant project based on the   knowledge and skills acquired in earlier coursework and   integrate their technical knowledge through a practical   design experience. The project is evaluated through   written reports, oral presentations, and demonstrations of   performance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     188C. 
                        Senior Electrical Engineering Project                                                                                                                                                                                            
                
                
		
                    (3)
                        BEN-YAACOV 
                             Prerequisite: ECE 188B with a minimum grade of C-.                                                                                                                                                                                                                                                                                                                                                   
                            
                    
                        Student groups design a significant project based on the   knowledge and skills acquired in earlier coursework and   integrate their technical knowledge through a practical   design experience. The project is evaluated through written   reports, oral presentations, and demonstrations of   performance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     189A. 
                        Senior Computer Systems Project                                                                                                                                                                                                  
                
                
		
                    (4)
                        ISUKAPALLI 
                             Prerequisite: ECE 153B; senior standing in Computer Engineering, Computer Science or EE.                                                                                                                                                                                                                                                                                                             
                            Enrollment Comments: Not open for credit to students who have completed Computer Science   189A-B.
                    
                        Student groups design a significant computer-based project. The focus will be on designing a significant project based on the knowledge and skills acquired in earlier coursework. Groups work independently with interaction among groups via interface specifications and informal meetings. The project is evaluated through successful completion of milestones and individual/group project reports and presentations.                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     189B. 
                        Senior Computer Systems Project                                                                                                                                                                                                  
                
                
		
                    (4)
                        ISUKAPALLI 
                             Prerequisite: ECE 189A; senior standing in Computer Engineering, Computer Science or ECE.                                                                                                                                                                                                                                                                                                            
                            Enrollment Comments: Not open for credit to students who have completed Computer Science 189A-B.
                    
                        Student groups design a significant computer-based project. Focus will be on building and implementing an embedded hardware system. Each group works independently. The project is evaluated through project reports, achieving milestones and through successful demonstration of hardware functionality.                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     189C. 
                        Senior Computer Systems Project                                                                                                                                                                                                  
                
                
		
                    (4)
                        ISUKAPALLI 
                             Prerequisite: ECE 189B; senior standing in Computer Engineering, Computer Science, or EE.                                                                                                                                                                                                                                                                                                            
                            Recommended Preparation:  Not open for credit to students who have completed Computer Science A-B.Repeat Comments: Not open for credit to students who have completed Computer Science A-B.
                    
                        Student groups design a significant computer-based project. The focus in this course will be on the integration of both hardware and software components. Students continue to work in groups. Apart from project reports and presentations, the evaluation will be based on successful demonstration of both hardware and software aspects of the project.                                                                                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     192. 
                        Projects in Electrical and Computer Engineering                                                                                                                                                                                  
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: Consent of instructor.                                                                                                                                                                                                                                                                                                                                                                 
                            Enrollment Comments: A maximum of 4 units may be used as departmental electives.
                    
                        Projects in electrical and computer engineering for advanced undergraduate students.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     193. 
                        Internship in Industry                                                                                                                                                                                                           
                
                
		
                    (1-8)
                        STAFF 
                             Prerequisite: Consent of department.                                                                                                                                                                                                                                                                                                                                                                 
                            Enrollment Comments: Student must have a minimum 3.0 GPA. May not be used as departmental       elective. May be repeated to a maximum of 12 units.
                    
                        Special projects for selected students. Offered in conjunction with        engineering practice in selected industrial and research firms, under      direct faculty supervision.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     194AAZZ. 
                        Special Topics in Electrical and Computer Engineering                                                                                                                                                                            
                
                
		
                    (1-5)
                        STAFF 
                             Prerequisite: Consent of instructor.                                                                                                                                                                                                                                                                                                                                                                 
                            
                    
                        Group studies intended for small number of advanced students who share an  interest in a topic not included in the regular departmental curriculum.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     196. 
                        Undergraduate Research                                                                                                                                                                                                           
                
                
		
                    (2-4)
                        STAFF 
                             Prerequisite: Students must: (1) have attained upper division standing, (2) have a       minimu3.0 grade-point average for preceding three quarters, (3) consent of instructor.                                                                                                                                                                                                                      
                            Enrollment Comments: May be repeated for up to 12 units. Not more than 4 units may be applied   todepartmental electives.
                    
                        Research opportunities for undergraduate students. students will be        expected to give regular oral presentations, actively participate in a     weekly seminar, and prepare at least one written report on their research.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     199. 
                        Independent Studies in Electrical and Computer Engineering                                                                                                                                                                       
                
                
		
                    (1-5)
                        STAFF 
                             Prerequisite: Consent of instructor; upper-division standing; completion of 2            upper-diviscourse in Electrical and Computer Engineering.                                                                                                                                                                                                                                                   
                            Enrollment Comments: Students must have a minimum 3.0 GPA for the preceding 3 quarters and are  limited to five units per quarter and 30 units total in all                98/99/198/199DC/199RA courses combined.
                    
                        Directed individual study, normally experimental.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     201A. 
                        Electromagnetic Theory I                                                                                                                                                                                                         
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 144.                                                                                                                                                                                                                                                                                                                                                                               
                            
                    
                        Basic concepts in electromagnetic theory, energy power, plane waves,       guided   waves, dielectric and metallic waveguides, radiation, uniqueness, image theory,   reciprocity, duality, equivalence principle, induction     theorem.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     203. 
                        THz Science, Technology, and Systems                                                                                                                                                                                             
                
                
		
                    (4)
                        BROWN 
                            
                            Recommended Preparation:  ECE 144, ECE 162A, ECE 145A or ECE 218A, and ECE 146A.
                    
                        Interaction of THz radiation with three states of matter; electron device  behavior   at THz frequencies; quasi-optical methods and Gaussian beams;   RF sensor   theory and THz transceiver design; photonic methods (ultrafast photoconductive devices, quantum cascade lasers, etc); systems and         applications (spectroscopy, radiometry, imaging).                                                                                                                                                                                                                                                                                                                                                                                                                 
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     205. 
                        Information Theory                                                                                                                                                                                                               
                
                
		
                    (4)
                        ROSE 
                             Prerequisite: ECE 139, or PSTAT 120A-B or equivalent.                                                                                                                                                                                                                                                                                                                                                
                            Enrollment Comments: Same course as Computer Science 225.
                    
                        Entropy, mutual information, and Shannon's coding theorems;   lossless     source coding, Huffman, Shannon-Fano-Elias, and   arithmetic codes;        channel capacity; rate-distortion theory,   and lossy source coding;       source-channel coding; algorithmic   complexity and information;           applications of information theory in various fields.                                                                                                                                                                                                                                                                                                                                                                                                             
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     210A. 
                        Matrix Analysis and Computation                                                                                                                                                                                                  
                
                
		
                    (4)
                        CHANDRASEKARAN, 
                             Prerequisite: Consent of instructor.                                                                                                                                                                                                                                                                                                                                                                 
                            Enrollment Comments: Students should be proficient in basic numerical methods, linear algebra,  mathematically rigorous proofs, and some programming language. Same course as Computer Science 211A, Mathematics 206A, ME 210A, Chemical Engineering  211A, and Geology 251A.
                    
                        Graduate level-matrix theory with introduction to matrix computations.     SVD's, pseudoinverses, variational characterization of eigenvalues,        perturbation theory, direct and iterative methods for matrix computations.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     210B. 
                        Numerical Simulation                                                                                                                                                                                                             
                
                
		
                    (4)
                        STAFF, 
                             Prerequisite: Consent of instructor.                                                                                                                                                                                                                                                                                                                                                                 
                            Enrollment Comments: Students should be proficient in basic numerical methods, linear algebra,  mathematically rigorous proofs, and some programming language. Same course as Computer Science 211B, Mathematics 206B, ME 210B, Chemical Engineering  211B and Geology 251B.
                    
                        Linear multistep methods and Runge-Kutta methods for ordinary differential equations: stability, order and convergence. Stiffness. Differential       algebraic equations. Numerical solution of boundary value problems.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     210C. 
                        Numerical Solution of Partial Differential Equations--Finite Difference    Methods                                                                                                                                               
                
                
		
                    (4)
                        STAFF, 
                             Prerequisite: Consent of instructor.                                                                                                                                                                                                                                                                                                                                                                 
                            Enrollment Comments: Students should be proficient in basic numerical methods, linear algebra,  mathematically rigorous proofs, and some programming language. Same course as Computer Science 211C, Mathematics 206C, ME 210C, Chemical Engineering  211C and Geology 251C.
                    
                        Finite difference methods for hyperbolic, parabolic and elliptic PDE's,    with application to problems in science and engineering. Convergence,      consistency, order and stability of finite difference methods. Dissipation and dispersion. Finite volume methods. Software design and adaptivity.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     210D. 
                        Numerical Solution of Partial Differential Equations--Finite Element       Methods                                                                                                                                               
                
                
		
                    (4)
                        STAFF, 
                             Prerequisite: Consent of instructor.                                                                                                                                                                                                                                                                                                                                                                 
                            Enrollment Comments: Students should be proficient in basic numerical methods, linear algebra,  mathematically rigorous proofs, and some programming language. Same course as Computer Science 211D, Mathematics 206D, ME 210D, Chemical Engineering  211D and Geology 251D.
                    
                        Weighted residual and finite element methods for the solution of           hyperbolic, parabolic and elliptic partial differential equations, with    application to problems in science and engineering. Error estimates.       Standard and discontinuous Galerkin methods.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     211A. 
                        Engineering Quantum Mechanics I                                                                                                                                                                                                  
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 162A-B. Students must have some knowledge of linear algebra.                                                                                                                                                                                                                                                                                                                       
                            Enrollment Comments: Same course as Materials 211A.
                    
                        Wave-particle duality; bound states; uncertainty relations; expectation    values   and operators; variational principle; eigenfunction expansions;   perturbation   theory I. Treatment matches needs and background of ECE and Materials   students emphasizing solid state or quantum electronics.                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     211B. 
                        Engineering Quantum Mechanics II                                                                                                                                                                                                 
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 211A or MATRL 211A, or ECE 215A or MATRL 206A.                                                                                                                                                                                                                                                                                                                                     
                            Enrollment Comments: Same course as Materials 211B.
                    
                        Continutation of ECE 211A; symmetry and degeneracy; electrons in crystals, angular momentum; perturbation theory II; transition probabilites;         quantized fields and radiative transitions; magnetic fields; electron      spin;indistinguishable particles.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     215A. 
                        Fundamentals of Electronic Solids I                                                                                                                                                                                              
                
                
		
                    (4)
                        BROWN 
                             Prerequisite: ECE 162A or 162B.                                                                                                                                                                                                                                                                                                                                                                      
                            Enrollment Comments: Same course as Materials 206A.
                    
                        Introduction into the physics of semiconductors, for beginning engineering graduate students. Crystal structure. Reciprocal lattice and crystal       diffraction. Electrons in periodic structures. Energy and bands.           Semiconductor electrons and probes, fermi statistics.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     215B. 
                        Fundamentals of Electronic Solids II                                                                                                                                                                                             
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 162A, 162B, or consent of instructor.                                                                                                                                                                                                                                                                                                                                              
                            Enrollment Comments: Same course as Materials 206B.
                    
                        Phonos, electron scattering, electroni transport, selected optical         properties, heterostructures, effective mass, quantum wells,               two-dimensional electron gas, quantum wires, deep levels, crystal binding.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     216. 
                        Defects in Semiconductors                                                                                                                                                                                                        
                
                
		
                    (3)
                        STAFF 
                             Prerequisite: ECE 162A-B.                                                                                                                                                                                                                                                                                                                                                                            
                            Enrollment Comments: Same course as Materials 216.
                    
                        Structural and electronic properties of elementar defects in               semiconductors.   Point defects and impurity complexes. Deep levels.       Dislocations and grain   boundary electronic properties. Measurement       techniques for radiative and   nonradiative defect centers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     217. 
                        Molecular Beam Epitaxy and Band Gap Engineering                                                                                                                                                                                  
                
                
		
                    (3)
                        STAFF 
                             Prerequisite: ECE 162A-B and 213, or consent of instructor.                                                                                                                                                                                                                                                                                                                                          
                            Enrollment Comments: Same course as Materials 217.
                    
                        Fundamentals and recent research developmnets in the growth   and properties of thin crystalline films of electronic and   optical materials bythe process of molecular beam epitaxy.   Artificially structured materials with quantized electron   confinement and artificially engineered electronic band   structure properties.                                                                                                                                                                                                                                                                                                                                                                                                                                           
                    
                
	
            "
Computer Science                        ,"
                
                    ECE     218A. 
                        Communication Electronics                                                                                                                                                                                                        
                
                
		
                    (5)
                        RODWELL 
                             Prerequisite: ECE 137A-B or equivalents.                                                                                                                                                                                                                                                                                                                                                             
                            
                    
                        RF/Microwave circuits. Transistor, transmission-line, and passive element  characteristics. Transmission-line theory and impedance matching.          Amplifier   design for maximum available gain. Amplifier stability. Gain   compression and   power limits. Introduction to noise figure, and to       intermodulation distortion.                                                                                                                                                                                                                                                                                                                                                                                                                                       
                    
                
	
            "
